"","X","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score"
"3",2,44,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",516.16,21027,"22.0",500.69,"No","Yes","Yes","Solved in Follow-up","Poor Website",1
"4",3,37,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",53.27,25239.56,"6.0",567.66,"No","Yes","Yes","Unsolved","Poor Website",1
"5",4,31,"F","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",113.13,24483.66,"16.0",663.06,"No","Yes","Yes","Solved","Poor Website",1
"7",6,21,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",55.38,8982.5,"28.0",756.21,"Yes","No","Yes","Solved in Follow-up","No reason specified",0
"11",10,25,"F","Village","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",570.23,35119.93,"8.0",699.7,"Yes","Yes","No","Not Applicable","Poor Product Quality",1
"12",11,60,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",55.53,41672.02,"33.02434314076341",798.12,"Yes","No","No","Not Applicable","Too many ads",0
"13",12,11,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",41.09,44007.18,"18.0",608.26,"Yes","No","Yes","Unsolved","Poor Customer Service",1
"19",18,39,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",241.74,33170.16,"6.0",551.11,"Yes","No","Yes","No Information Available","No reason specified",1
"21",20,33,"M","Village","No Membership","No","Without Offers","Desktop","Wi-Fi",49.86,44289.97,"25.0",703.96,"Yes","No","No","Not Applicable","Poor Customer Service",1
"22",21,30,"M","Village","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",30.37,49404.86,"23.0",630.61,"Yes","No","Yes","No Information Available","Poor Website",1
"24",23,48,"M","Town","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",72.52,15860.41,"3.2073857931601104",529.03,"No","Yes","No","Not Applicable","No reason specified",0
"25",24,43,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",108.3,21725.57,"21.0",225.004427624128,"No","Yes","No","Not Applicable","Poor Website",1
"26",25,29,"F","Town","Silver Membership","No","Without Offers","Desktop","Fiber_Optic",300.38,12069.06,"7.0",777.31,"No","Yes","No","Not Applicable","Too many ads",0
"28",27,20,"F","Village","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",272.31,42743.44,"12.0",687.26,"Yes","No","No","Not Applicable","Poor Product Quality",1
"34",33,60,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",537.25,1773.49,"6.0",711.76,"Yes","Yes","No","Not Applicable","Poor Product Quality",0
"35",34,12,"M","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",198.26,26105.24,"7.0",721.36,"Yes","No","No","Not Applicable","Poor Customer Service",0
"36",35,52,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",119.47,10101.48,"28.0",158.54776452544,"Yes","No","No","Not Applicable","Poor Website",1
"37",36,30,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",68.19,21111.9,"23.0",574.01,"Yes","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"39",38,26,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",194.85,5912.06,"13.0",568.34,"Yes","No","No","Not Applicable","Too many ads",1
"40",39,49,"F","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",706.36,19062.25,"Error",780.58,"Yes","No","No","Not Applicable","Poor Product Quality",0
"44",43,17,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",348.07,94100.72,"4.0",824.95,"Yes","Yes","No","Not Applicable","User Friendly Website",0
"47",46,58,"F","Village","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",30.78,48080.03,"10.0",713.62,"Yes","No","No","Not Applicable","Poor Product Quality",0
"48",47,41,"M","Town","Platinum Membership","No","Without Offers","Both","Fiber_Optic",282.87,27528.03,"27.0",743.8,"Yes","No","No","Not Applicable","Poor Website",0
"52",51,38,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",324.75,28535.13,"27.0",770.31,"Yes","Yes","Yes","Solved","Poor Customer Service",0
"53",52,20,"M","City","Silver Membership","Yes","Without Offers","Desktop","Fiber_Optic",237.39,25000.09,"16.0",704.4,"No","Yes","No","Not Applicable","Poor Website",1
"54",53,35,"F","Village","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",148.24,30984.56,"11.0",729.04,"Yes","No","No","Not Applicable","Poor Customer Service",0
"55",54,43,"M","Town","Premium Membership","Yes","Without Offers","Both","Wi-Fi",773.83,9091.94,"20.0",700.4,"No","Yes","No","Not Applicable","Poor Product Quality",0
"58",57,40,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",46.57,24045.93,"8.0",709.73,"No","Yes","No","Not Applicable","Poor Product Quality",0
"60",59,35,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",34.48,48679.07,"6.0",779.59,"Yes","No","No","Not Applicable","Poor Product Quality",0
"61",60,28,"M","Village","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",-615.344318961141,13131.05,"13.0",820.91,"Yes","Yes","No","Not Applicable","Quality Customer Care",0
"64",63,18,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",156.06,4783.23,"28.75639925305587",597.87,"Yes","No","Yes","No Information Available","Too many ads",0
"66",65,35,"M","Town","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",157.03,22975.33,"18.0",548.1,"No","Yes","No","Not Applicable","Poor Website",1
"68",67,28,"M","Village","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",457.33,20883.28,"14.0",-549.357497676134,"No","Yes","No","Not Applicable","Too many ads",1
"70",69,55,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",42.77,8996.95,"Error",749.56,"Yes","No","Yes","Unsolved","Poor Website",0
"71",70,59,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",207.52,12556.28,"10.0",-44.5976325839602,"No","Yes","No","Not Applicable","No reason specified",1
"72",71,39,"M","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",98.57,2645.63,"23.0",674.42,"No","Yes","No","Not Applicable","Poor Product Quality",1
"75",74,53,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",253.96,19233.1,"25.0",1032.19912623072,"Yes","No","Yes","Solved","Poor Website",1
"76",75,57,"M","Town","No Membership","No","Without Offers","Desktop","Fiber_Optic",119.1,44341.82,"Error",563.92,"Yes","No","Yes","No Information Available","Poor Customer Service",1
"78",77,50,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",65.39,17054.69,"21.0",353.369001485633,"No","Yes","Yes","Solved","No reason specified",0
"83",82,53,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",172.99,9044.15,"8.0",763.14,"Yes","No","Yes","Solved in Follow-up","Products always in Stock",0
"85",84,62,"F","City","No Membership","No","Without Offers","Both","Fiber_Optic",304.52,47658.52,"29.0",699.19,"No","Yes","Yes","Solved","Too many ads",1
"86",85,55,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",1316.52,2367.56,"25.0",441.836549939201,"Yes","No","No","Not Applicable","No reason specified",0
"88",87,30,"M","City","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",191.41,25575.44,"Error",648.68,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"92",91,25,"F","Village","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",31.88,35414.54,"20.0",788.67,"No","Yes","No","Not Applicable","No reason specified",0
"94",93,24,"F","Town","Premium Membership","Yes","Without Offers","Desktop","Fiber_Optic",181.34,43554.96,"1.0",728.69,"Yes","No","Yes","Solved in Follow-up","Products always in Stock",0
"96",95,56,"M","Village","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",48.59,28071.04,"16.0",533.05,"No","Yes","Yes","Solved","Poor Website",1
"98",97,23,"F","Town","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",727.69,4919.72,"13.0",758.83,"Yes","Yes","No","Not Applicable","Too many ads",0
"99",98,42,"F","City","No Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",419.51,14661.42,"Error",404.489758372053,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"100",99,59,"M","Village","Gold Membership","Yes","Without Offers","Both","Mobile_Data",899.04,49614.88,"23.0",758.69,"Yes","No","No","Not Applicable","Poor Website",0
